contig_id	size	genome_id
CP047545.1	238273	GCA_004324115.2
CP047546.1	4994555	GCA_004324125.2
CP047547.1	250477	GCA_004324125.2
CP047553.1	4996725	GCA_004324135.2
CP047554.1	213570	GCA_004324135.2
CP047550.1	4996934	GCA_004324145.2
CP047551.1	240317	GCA_004324145.2
CP047552.1	4074	GCA_004324145.2
CP047527.1	4997397	GCA_004324245.2
CP047528.1	249152	GCA_004324245.2
CP047548.1	4990411	GCA_004324275.2
CP047549.1	249152	GCA_004324275.2
CP047555.1	4997304	GCA_004324315.2
CP047556.1	256080	GCA_004324315.2
CP025280.1	4662027	GCA_004328765.1
CP025278.1	4985589	GCA_004328785.1
CP025279.1	92439	GCA_004328785.1
CP025273.1	4899128	GCA_004328805.1
CP025274.1	6761	GCA_004328805.1
CP025275.1	125113	GCA_004328805.1
CP025276.1	4622297	GCA_004328825.1
CP025277.1	266480	GCA_004328825.1
CP047522.1	4941012	GCA_004337735.2
CP047523.1	195873	GCA_004337735.2
CP047524.1	87292	GCA_004337735.2
CP047537.1	4917130	GCA_004337745.2
CP047538.1	329730	GCA_004337745.2
CP047539.1	88993	GCA_004337745.2
CP037891.1	4611179	GCA_004354225.1
CP037892.1	4819673	GCA_004354245.1
CP037894.1	4820913	GCA_004354285.1
CP037960.1	4645553	GCA_004358925.1
CP037959.1	278374	GCA_004358925.1
CP037958.1	3373	GCA_004358925.1
CP020101.1	4760321	GCA_004564195.1
CP038432.1	4890368	GCA_004683925.1
CP038433.1	94009	GCA_004683925.1
CP038434.1	4890338	GCA_004683945.1
CP038435.1	94009	GCA_004683945.1
CP038591.1	4830203	GCA_004768565.1
CP038592.1	33119	GCA_004768565.1
CP038593.1	4830242	GCA_004768585.1
CP038594.1	33103	GCA_004768585.1
CP038601.1	4804514	GCA_004768605.1
CP038602.1	30148	GCA_004768605.1
CP038603.1	6237	GCA_004768605.1
CP038604.1	5121080	GCA_004768625.1
CP038605.1	26170	GCA_004768625.1
CP038606.1	4018	GCA_004768625.1
CP038607.1	2244	GCA_004768625.1
CP038595.1	4633429	GCA_004768645.1
CP038596.1	27788	GCA_004768645.1
CP038597.1	32512	GCA_004768645.1
CP038598.1	4448	GCA_004768645.1
CP038599.1	3223	GCA_004768645.1
CP038600.1	2097	GCA_004768645.1
CP038608.1	5120648	GCA_004768665.1
CP038609.1	26170	GCA_004768665.1
CP038610.1	4018	GCA_004768665.1
CP038611.1	2244	GCA_004768665.1
CP038847.1	4854979	GCA_004792435.1
CP038848.1	93862	GCA_004792435.1
CP038849.1	4930644	GCA_004792455.1
CP039277.1	4710675	GCA_004798745.1
CP039278.1	28751	GCA_004798745.1
CP039279.1	5120962	GCA_004798765.1
CP039280.1	26170	GCA_004798765.1
CP039281.1	4018	GCA_004798765.1
CP039282.1	2244	GCA_004798765.1
CP039270.1	4905224	GCA_004798785.1
CP039271.1	324175	GCA_004798785.1
CP039272.1	29873	GCA_004798785.1
CP039273.1	6237	GCA_004798785.1
CP039274.1	4096	GCA_004798785.1
CP039275.1	3270	GCA_004798785.1
CP039276.1	2318	GCA_004798785.1
CP039463.1	4726559	GCA_004847005.1
CP039464.1	81940	GCA_004847005.1
CP039465.1	4726540	GCA_004847145.1
CP039466.1	81938	GCA_004847145.1
CP039482.1	4726558	GCA_004847345.1
CP039483.1	81939	GCA_004847345.1
CP039467.1	4726542	GCA_004847505.1
CP039468.1	81934	GCA_004847505.1
CP039469.1	4726545	GCA_004847525.1
CP039470.1	81940	GCA_004847525.1
CP039471.1	4726554	GCA_004847545.1
CP039472.1	81911	GCA_004847545.1
CP039486.1	4726556	GCA_004847565.1
CP039484.1	4726550	GCA_004847585.1
CP039485.1	81929	GCA_004847585.1
CP039473.1	4726548	GCA_004847605.1
CP039474.1	81900	GCA_004847605.1
CP039475.1	95348	GCA_004847605.1
CP039476.1	4726558	GCA_004847625.1
CP039477.1	4726558	GCA_004847745.1
CP039478.1	4726552	GCA_004847885.1
CP039479.1	81940	GCA_004847885.1
CP039480.1	4726543	GCA_004848145.1
CP039481.1	81938	GCA_004848145.1
CP039487.1	4726557	GCA_004848405.1
CP039488.1	81815	GCA_004848405.1
CP039491.1	4726555	GCA_004848545.1
CP039492.1	81941	GCA_004848545.1
CP039489.1	4726556	GCA_004848685.1
CP039490.1	131067	GCA_004848685.1
CP039493.1	4726500	GCA_004848885.1
CP039494.1	81941	GCA_004848885.1
CP039495.1	47543	GCA_004848885.1
CP039561.1	4976848	GCA_004919145.1
CP039562.1	178506	GCA_004919145.1
CP039563.1	4148	GCA_004919145.1
CP039558.1	4783087	GCA_004919165.1
CP039559.1	246505	GCA_004919165.1
CP039560.1	93838	GCA_004919165.1
CP039565.1	4815188	GCA_004919185.1
CP039566.1	93838	GCA_004919185.1
CP039564.1	4996602	GCA_004919205.1
CP039572.1	4980665	GCA_004919225.1
CP039573.1	4593	GCA_004919225.1
CP039574.1	4418	GCA_004919225.1
CP039575.1	3003	GCA_004919225.1
CP039585.1	4814945	GCA_004919265.1
CP039586.1	93927	GCA_004919265.1
CP039587.1	59143	GCA_004919265.1
CP039567.1	4815492	GCA_004919285.1
CP039568.1	93837	GCA_004919285.1
CP039569.1	4929627	GCA_004919305.1
CP039570.1	4593	GCA_004919305.1
CP039571.1	4418	GCA_004919305.1
CP039579.1	4903154	GCA_004919325.1
CP039580.1	125502	GCA_004919325.1
CP039581.1	3208	GCA_004919325.1
CP039582.1	4933557	GCA_004919345.1
CP039583.1	94000	GCA_004919345.1
CP039584.1	3208	GCA_004919345.1
CP039591.1	4942800	GCA_004919365.1
CP039592.1	93998	GCA_004919365.1
CP039593.1	4980483	GCA_004919385.1
CP039594.1	6760	GCA_004919385.1
CP039595.1	4856638	GCA_004919405.1
CP039596.1	93838	GCA_004919405.1
CP039597.1	3208	GCA_004919405.1
CP039598.1	1968	GCA_004919405.1
CP039599.1	4917230	GCA_004919425.1
CP039600.1	38266	GCA_004919425.1
CP039601.1	3751	GCA_004919425.1
CP039602.1	3374	GCA_004919425.1
CP039603.1	4819943	GCA_004919445.1
CP039604.1	90972	GCA_004919445.1
CP039605.1	38556	GCA_004919445.1
CP039606.1	4697	GCA_004919445.1
CP039607.1	4999790	GCA_004919465.1
CP039608.1	3351	GCA_004919465.1
CP039609.1	2699	GCA_004919465.1
CP039503.1	4882218	GCA_004923395.1
CP039504.1	1237	GCA_004923395.1
CP039505.1	2733	GCA_004923395.1
CP039506.1	5900	GCA_004923395.1
CP039507.1	2495	GCA_004923395.1
CP039508.1	2579	GCA_004923395.1
CP039509.1	4882236	GCA_004923415.2
CP039512.1	1240	GCA_004923415.2
CP039511.1	2733	GCA_004923415.2
CP039510.1	5900	GCA_004923415.2
CP039515.1	2450	GCA_004923415.2
CP039514.1	2498	GCA_004923415.2
CP039513.2	81615	GCA_004923415.2
CP039610.1	4995830	GCA_004941405.1
CP039588.1	4969530	GCA_005094845.1
CP039589.1	2617	GCA_005094845.1
CP039590.1	1978	GCA_005094845.1
CP039713.1	4815118	GCA_005144925.1
CP039714.1	98012	GCA_005144925.1
CP039715.1	93838	GCA_005144925.1
CP039716.1	4789195	GCA_005144945.1
CP039717.1	248353	GCA_005144945.1
CP039718.1	93838	GCA_005144945.1
CP039719.1	4976023	GCA_005144985.1
CP039720.1	4418	GCA_005144985.1
CP039854.1	4817004	GCA_005160365.1
CP039855.1	93897	GCA_005160365.1
CP039856.1	4980672	GCA_005160385.1
CP039857.1	249601	GCA_005160385.1
CP039858.1	4073	GCA_005160385.1
CP039859.1	2883	GCA_005160385.1
CP039860.1	4997600	GCA_005160405.1
CP039861.1	245375	GCA_005160405.1
CP039862.1	91904	GCA_005160405.1
CP039863.1	6306	GCA_005160405.1
CP039864.1	5310	GCA_005160405.1
CP029029.1	4634278	GCA_005166225.1
CP028131.1	4690295	GCA_005221485.1
CP028900.1	4833791	GCA_005222465.1
CP040701.1	4994320	GCA_005457265.2
CP040702.1	104768	GCA_005457265.2
CP040318.1	4908183	GCA_005537135.1
CP040319.1	47477	GCA_005537135.1
CP040320.1	3372	GCA_005537135.1
CP040379.1	4619529	GCA_005576575.1
CP040380.1	4615193	GCA_005576595.1
CP040458.1	4982919	GCA_005844025.1
CP040457.1	254752	GCA_005844025.1
CP040575.1	4813117	GCA_005885835.1
CP040574.1	84498	GCA_005885835.1
CP040562.1	4902004	GCA_005885855.1
CP040563.1	3609	GCA_005885855.1
CP040564.1	4883741	GCA_005885875.1
CP040565.1	93869	GCA_005885875.1
CP040566.1	4857789	GCA_005885895.1
CP040567.1	105670	GCA_005885895.1
CP040568.1	4965236	GCA_005885935.1
CP040569.1	94033	GCA_005885935.1
CP040644.1	4680325	GCA_005889955.1
CP040645.1	59372	GCA_005889955.1
CP040646.1	4679507	GCA_005889975.1
CP040647.1	59372	GCA_005889975.1
CP040648.1	4905849	GCA_005890095.1
CP040649.1	7180	GCA_005890095.1
CP040650.1	3095	GCA_005890095.1
CP040651.1	4925949	GCA_005890175.1
CP040652.1	84296	GCA_005890175.1
CP040653.1	3372	GCA_005890175.1
CP040700.1	4767334	GCA_005930995.1
CP040668.1	4904134	GCA_005954705.1
CP040669.1	107560	GCA_005954705.1
CP040670.1	3208	GCA_005954705.1
CP034479.1	4870261	GCA_006088735.1
CP034480.1	93832	GCA_006088735.1
CP025445.1	4763928	GCA_006165105.1
CP025447.1	4762730	GCA_006165125.1
CP025450.1	4763902	GCA_006165145.1
CP025452.1	4763930	GCA_006165165.1
CP025446.1	4794633	GCA_006165185.1
CP025448.1	4762736	GCA_006165205.1
CP025449.1	4763925	GCA_006165225.1
CP025451.1	4763929	GCA_006165245.1
CP025453.1	4841410	GCA_006165265.1
CP025454.1	4762732	GCA_006165285.1
CP025455.1	96532	GCA_006165285.1
CP039169.1	4645545	GCA_006228345.1
CP039170.1	278377	GCA_006228345.1
CP140417.1	4764049	GCA_006287295.2
CP140418.1	111473	GCA_006287295.2
CP140419.1	4633	GCA_006287295.2
CP040900.1	4813658	GCA_006351805.1
CP040901.1	93930	GCA_006351805.1
CP041011.1	4482093	GCA_006364755.1
CP041005.1	4857490	GCA_006365335.1
CP041006.1	93933	GCA_006365335.1
CP041007.1	3360	GCA_006365335.1
CP029839.1	4865212	GCA_006384195.1
CP029837.1	93657	GCA_006384195.1
CP029838.1	93798	GCA_006384195.1
CP041026.1	4968488	GCA_006385115.1
CP041027.1	190723	GCA_006385115.1
CP041028.1	4236	GCA_006385115.1
CP050833.1	4744578	GCA_006461415.2
CP050832.1	152940	GCA_006461415.2
CP041171.1	4755719	GCA_006516995.1
CP041172.1	153516	GCA_006516995.1
CP041173.1	4679929	GCA_006517015.1
CP041174.1	248746	GCA_006517015.1
CP041175.1	29337	GCA_006517015.1
CP041179.1	4775876	GCA_006517035.1
CP041180.1	236217	GCA_006517035.1
CP041176.1	4679991	GCA_006517055.1
CP041177.1	111764	GCA_006517055.1
CP041178.1	59372	GCA_006517055.1
CP041181.1	4776397	GCA_006517075.1
CP041182.1	240209	GCA_006517075.1
CP041184.1	4718314	GCA_006517135.1
CP041183.1	4752859	GCA_006517155.1
CP038233.1	4651105	GCA_006740725.1
AP019692.1	4980580	GCA_006741505.1
AP019693.1	4096	GCA_006741505.1
AP019694.1	2345	GCA_006741505.1
CP040686.1	5031277	GCA_006874805.1
CP030749.1	5052222	GCA_006969245.1
CP030029.1	4855239	GCA_007431545.1
CP032304.1	4704113	GCA_007833775.1
CP032305.1	33799	GCA_007833775.1
CP032306.1	22857	GCA_007833775.1
CP035301.1	4905039	GCA_007923125.1
CP035302.1	93876	GCA_007923125.1
CP043214.1	4751368	GCA_008124065.1
CP043215.1	165649	GCA_008124065.1
CP043216.1	37697	GCA_008124065.1
CP043222.1	4766173	GCA_008124445.1
CP043223.1	257405	GCA_008124445.1
CP043224.1	42407	GCA_008124445.1
CP043433.1	4685587	GCA_008313815.1
CP043434.1	59372	GCA_008313815.1
CP041699.1	4941329	GCA_008330205.1
CP044177.1	5139919	GCA_008727535.1
CP044178.1	44544	GCA_008727535.1
CP044179.1	35315	GCA_008727535.1
CP044180.1	106569	GCA_008727535.1
CP044200.1	4799356	GCA_008727555.1
CP044201.1	11045	GCA_008727555.1
CP044202.1	10046	GCA_008727555.1
CP044203.1	4803391	GCA_008727575.1
CP044204.1	60896	GCA_008727575.1
CP044181.1	4751364	GCA_008727595.1
CP044182.1	37696	GCA_008727595.1
CP044183.1	101684	GCA_008727595.1
CP044184.1	4856104	GCA_008727615.1
CP044185.1	49153	GCA_008727615.1
CP044186.1	4963375	GCA_008727635.1
CP044187.1	62424	GCA_008727635.1
CP044188.1	4925831	GCA_008727655.1
CP044189.1	90935	GCA_008727655.1
CP044190.1	120390	GCA_008727655.1
CP044257.1	4757321	GCA_008728495.1
CP044256.1	290830	GCA_008728495.1
CP043027.1	4740022	GCA_008807355.1
CP035915.1	4923339	GCA_008931225.1
CP035916.1	287007	GCA_008931225.1
CP035917.1	4979135	GCA_008931245.1
CP035918.1	247705	GCA_008931245.1
CP044957.1	4787290	GCA_009017295.1
CP044958.1	247576	GCA_009017295.1
CP044959.1	93838	GCA_009017295.1
CP044960.1	91139	GCA_009017295.1
CP044961.1	5004306	GCA_009017315.1
CP044962.1	126750	GCA_009017315.1
CP044963.1	4072	GCA_009017315.1
CP044964.1	3353	GCA_009017315.1
CP044965.1	1888	GCA_009017315.1
CP044966.1	1541	GCA_009017315.1
CP044967.1	4773032	GCA_009017335.1
CP044969.1	93724	GCA_009017335.1
CP044968.1	245071	GCA_009017335.1
CP045038.1	5000356	GCA_009184685.1
CP045447.1	4630202	GCA_009387895.1
CP045448.1	2989	GCA_009387895.1
CP045449.1	276739	GCA_009387895.1
CP045444.1	4631209	GCA_009388185.1
CP045445.1	2989	GCA_009388185.1
CP045446.1	276821	GCA_009388185.1
CP032490.1	4837346	GCA_009497835.1
CP032492.1	90686	GCA_009497835.1
CP032493.1	4315	GCA_009497835.1
CP032491.1	164229	GCA_009497835.1
CP032494.1	4764173	GCA_009497855.1
CP032495.1	118265	GCA_009497855.1
CP032497.1	74729	GCA_009497855.1
CP032499.1	5836	GCA_009497855.1
CP032498.1	6841	GCA_009497855.1
CP032496.1	90607	GCA_009497855.1
CP045753.1	4726706	GCA_009648715.1
CP045752.1	81815	GCA_009648715.1
CP045754.1	4726556	GCA_009648735.1
CP045755.1	81815	GCA_009648735.1
CP045756.1	99458	GCA_009648735.1
CP045757.1	4726556	GCA_009648755.1
CP045758.1	81815	GCA_009648755.1
CP045762.1	4794364	GCA_009648795.1
CP045763.1	117406	GCA_009648795.1
CP045764.1	35297	GCA_009648795.1
CP045765.1	4773	GCA_009648795.1
CP045761.1	4576555	GCA_009648815.1
CP045759.1	4726556	GCA_009648835.1
CP045760.1	81815	GCA_009648835.1
CP045831.1	4744949	GCA_009650055.1
CP045056.1	4930424	GCA_009650355.1
CP045053.1	26060	GCA_009650355.1
CP045054.1	270881	GCA_009650355.1
CP045055.1	40386	GCA_009650355.1
CP045059.1	4930422	GCA_009650375.1
CP045057.1	26057	GCA_009650375.1
CP045058.1	270878	GCA_009650375.1
CP045063.1	4930420	GCA_009650395.1
CP045060.1	26056	GCA_009650395.1
CP045061.1	270863	GCA_009650395.1
CP045062.1	40385	GCA_009650395.1
CP045945.1	4705038	GCA_009664555.1
CP045946.1	3691	GCA_009664555.1
CP045947.1	4964749	GCA_009664575.1
CP045948.1	4251	GCA_009664575.1
CP045949.1	4865665	GCA_009664595.1
CP045950.1	93865	GCA_009664595.1
CP045951.1	93769	GCA_009664595.1
CP045958.1	4692229	GCA_009664615.1
CP045959.1	329074	GCA_009664615.1
CP045952.1	5022086	GCA_009664635.1
CP045953.1	144821	GCA_009664635.1
CP045954.1	4731476	GCA_009664655.1
CP045955.1	4703625	GCA_009664795.1
CP045956.1	4642207	GCA_009664895.1
CP045957.1	41464	GCA_009664895.1
CP043662.1	4903781	GCA_009667745.1
CP043663.1	4018	GCA_009667745.1
CP043664.1	4889798	GCA_009667765.1
CP043665.1	5631	GCA_009667765.1
CP043666.1	4593	GCA_009667765.1
CP043667.1	4851336	GCA_009667835.1
CP043668.1	4593	GCA_009667835.1
CP034177.1	4724806	GCA_009667855.1
CP034178.1	81814	GCA_009667855.1
CP033360.1	4636747	GCA_009728795.1
CP033359.1	50864	GCA_009728795.1
CP033357.1	33334	GCA_009728795.1
CP033358.1	5431	GCA_009728795.1
CP033384.2	4784845	GCA_009728875.2
CP033382.2	209798	GCA_009728875.2
CP033383.2	34764	GCA_009728875.2
CP033387.2	4760689	GCA_009728895.2
CP033385.2	181814	GCA_009728895.2
CP033386.2	52902	GCA_009728895.2
CP046277.1	4611029	GCA_009729895.1
CP046278.1	5136727	GCA_009729915.1
CP046279.1	4556079	GCA_009729935.1
CP046280.1	4575198	GCA_009729955.1
CP046281.1	58747	GCA_009729955.1
CP046283.1	4884738	GCA_009729975.1
CP046282.1	94642	GCA_009729975.1
CP046284.1	87018	GCA_009729975.1
CP046291.1	4668186	GCA_009730015.1
CP046292.1	2231	GCA_009730015.1
CP046429.1	4812688	GCA_009734305.1
CP046430.1	83365	GCA_009734305.1
CP037882.1	4996832	GCA_009756475.1
CP037874.1	4817234	GCA_009756515.1
CP037873.1	93844	GCA_009756515.1
CP037877.1	4786287	GCA_009756555.1
CP037875.1	247701	GCA_009756555.1
CP037876.1	96545	GCA_009756555.1
CP037879.1	4984391	GCA_009756585.1
CP037878.1	6760	GCA_009756585.1
CP047115.1	5013113	GCA_009806735.1
CP047116.1	190174	GCA_009806735.1
CP041973.1	4690706	GCA_009884355.1
CP041972.1	83299	GCA_009884355.1
CP041976.1	4957978	GCA_009884375.1
CP041974.1	113858	GCA_009884375.1
CP041975.1	19388	GCA_009884375.1
CP047881.1	4725957	GCA_010919335.1
CP047882.1	285081	GCA_010919335.1
CP043509.1	4930938	GCA_011057955.1
CP043510.1	4657	GCA_011057955.1
CP035547.1	4863742	GCA_011304815.1
CP035551.1	3045	GCA_011304815.1
CP035549.1	88898	GCA_011304815.1
CP035550.1	4593	GCA_011304815.1
CP035548.1	153015	GCA_011304815.1
CP045458.1	4641662	GCA_011465535.1
CP045459.1	89619	GCA_011465535.1
CP045460.1	33309	GCA_011465535.1
CP045464.1	4773013	GCA_011465695.1
CP045465.1	4813791	GCA_011465815.1
CP045466.1	4671091	GCA_011465945.1
CP045467.1	195486	GCA_011465945.1
CP045461.1	4670959	GCA_011466075.1
CP045463.1	48530	GCA_011466075.1
CP045462.1	90138	GCA_011466075.1
CP045509.1	4641638	GCA_011466275.1
CP045512.1	48530	GCA_011466275.1
CP045511.1	54907	GCA_011466275.1
CP045510.1	90966	GCA_011466275.1
CP045513.1	4773053	GCA_011466455.1
CP045514.1	77622	GCA_011466455.1
CP045515.1	4673793	GCA_011466595.1
CP045516.1	4641555	GCA_011466775.1
CP045517.1	86794	GCA_011466775.1
CP045518.1	4641736	GCA_011466815.1
CP045519.1	106855	GCA_011466815.1
CP045520.1	90138	GCA_011466815.1
CP045521.1	63762	GCA_011466815.1
CP050706.1	4679542	GCA_012049805.1
CP050707.1	108447	GCA_012049805.1
CP050708.1	59371	GCA_012049805.1
CP050750.1	4994712	GCA_012050025.1
CP050751.1	260225	GCA_012050025.1
CP050752.1	4074	GCA_012050025.1
CP050709.1	4679799	GCA_012050205.1
CP050710.1	90315	GCA_012050205.1
CP050711.1	59372	GCA_012050205.1
CP050716.1	4679429	GCA_012050385.1
CP050717.1	90315	GCA_012050385.1
CP050718.1	59371	GCA_012050385.1
CP050719.1	7264	GCA_012050385.1
CP050720.1	3005	GCA_012050385.1
CP050712.1	4679142	GCA_012050525.1
CP050713.1	106652	GCA_012050525.1
CP050714.1	59372	GCA_012050525.1
CP050715.1	3374	GCA_012050525.1
CP050721.1	4738616	GCA_012050745.1
CP050722.1	59372	GCA_012050745.1
CP050723.1	4679573	GCA_012050905.1
CP050724.1	115154	GCA_012050905.1
CP050725.1	64336	GCA_012050905.1
CP050726.1	4974417	GCA_012051085.1
CP050727.1	147578	GCA_012051085.1
CP050728.1	4962482	GCA_012051245.1
CP050729.1	230228	GCA_012051245.1
CP050730.1	2708	GCA_012051245.1
CP050731.1	5038546	GCA_012051385.1
CP050732.1	181971	GCA_012051385.1
CP050733.1	4593	GCA_012051385.1
CP050734.1	4906732	GCA_012051625.1
CP050735.1	150326	GCA_012051625.1
CP050736.1	110163	GCA_012051625.1
CP050737.1	6062	GCA_012051625.1
CP050738.1	4715	GCA_012051625.1
CP050756.1	4929169	GCA_012052085.1
CP050753.1	4995493	GCA_012052225.1
CP050754.1	260432	GCA_012052225.1
CP050755.1	4074	GCA_012052225.1
CP050757.1	4721555	GCA_012052445.1
CP050758.1	87883	GCA_012052445.1
CP050759.1	29164	GCA_012052445.1
CP050771.1	4740209	GCA_012052605.1
CP050772.1	199036	GCA_012052605.1
CP050773.1	34285	GCA_012052605.1
CP050774.1	4677	GCA_012052605.1
CP050775.1	4234	GCA_012052605.1
CP050776.1	2677	GCA_012052605.1
CP050762.1	4783488	GCA_012052805.1
CP050763.1	190597	GCA_012052805.1
CP050760.1	4813873	GCA_012052965.1
CP050761.1	214820	GCA_012052965.1
CP050764.1	4858857	GCA_012053145.1
CP050765.1	30641	GCA_012053145.1
CP050766.1	3916	GCA_012053145.1
CP050767.1	3373	GCA_012053145.1
CP050768.1	2986	GCA_012053145.1
CP050769.1	4925928	GCA_012053325.1
CP050770.1	145548	GCA_012053325.1
CP050777.1	4782837	GCA_012053525.1
CP050778.1	190811	GCA_012053525.1
CP050785.1	4993824	GCA_012053725.1
CP050783.1	4817294	GCA_012053905.1
CP050784.1	255307	GCA_012053905.1
CP050779.1	4744651	GCA_012054045.1
CP050780.1	239058	GCA_012054045.1
CP050781.1	4234	GCA_012054045.1
CP050782.1	3372	GCA_012054045.1
CP048775.1	4813284	GCA_012169275.1
CP048776.1	311615	GCA_012169275.1
CP048777.1	27511	GCA_012169275.1
CP051267.1	4815388	GCA_012530215.1
CP051268.1	93798	GCA_012530215.1
CP051269.1	4819669	GCA_012530335.1
AP020330.1	4829518	GCA_012558165.1
AP020331.1	4593	GCA_012558165.1
CP053585.1	4888815	GCA_013161625.1
CP053870.1	4881794	GCA_013206965.1
CP053871.1	95180	GCA_013206965.1
CP053872.1	86908	GCA_013206965.1
CP053873.1	86908	GCA_013206965.1
CP053874.1	8688	GCA_013206965.1
CP053865.1	4879234	GCA_013207105.1
CP053866.1	93842	GCA_013207105.1
CP053867.1	86908	GCA_013207105.1
CP053868.1	86908	GCA_013207105.1
CP053869.1	8688	GCA_013207105.1
AP020332.1	4781872	GCA_013344545.1
AP020333.1	249939	GCA_013344545.1
AP020334.1	6237	GCA_013344545.1
CP054715.1	4794154	GCA_013348865.1
CP054717.1	162029	GCA_013348865.1
CP054718.1	118798	GCA_013348865.1
CP054716.1	51651	GCA_013348865.1
CP054827.1	4669238	GCA_013358425.1
CP039436.1	4949832	GCA_013376915.1
CP039437.1	4680581	GCA_013376935.1
CP039438.1	255725	GCA_013376935.1
CP039439.1	4831443	GCA_013376955.1
CP039440.1	276733	GCA_013376955.1
CP039441.1	4727127	GCA_013377315.1
CP039442.1	321887	GCA_013377315.1
CP039443.1	4727131	GCA_013377335.1
CP039444.1	321889	GCA_013377335.1
CP039445.1	4727130	GCA_013377355.1
CP039446.1	321890	GCA_013377355.1
CP058807.1	4865373	GCA_013415925.1
CP058808.1	3752	GCA_013415925.1
CP058809.1	93853	GCA_013415925.1
CP058810.1	205772	GCA_013415925.1
CP058811.1	90483	GCA_013415925.1
CP050130.1	5022825	GCA_013416235.1
CP050131.1	298622	GCA_013416235.1
CP060169.1	4877978	GCA_014250355.1
CP060170.1	93813	GCA_014250355.1
CP060171.1	1975	GCA_014250355.1
CP060508.1	4654369	GCA_014334175.1
CP060509.1	209422	GCA_014334175.1
CP060510.1	3372	GCA_014334175.1
CP060511.1	2978	GCA_014334175.1
CP060512.1	4686427	GCA_014334195.1
CP060513.1	254662	GCA_014334195.1
CP060514.1	41605	GCA_014334195.1
CP060515.1	5017156	GCA_014334215.1
CP060516.1	278034	GCA_014334215.1
CP060517.1	4715485	GCA_014334235.1
CP060518.1	233305	GCA_014334235.1
CP060519.1	64443	GCA_014334235.1
CP060520.1	4073	GCA_014334235.1
CP060521.1	3830	GCA_014334235.1
CP060522.1	4679617	GCA_014334255.1
CP060523.1	59372	GCA_014334255.1
CP060524.1	33310	GCA_014334255.1
CP060525.1	2096	GCA_014334255.1
CP060730.2	5024703	GCA_014394985.2
CP061159.1	4725087	GCA_014521465.1
CP060132.1	4746179	GCA_014524585.1
CP060133.1	176767	GCA_014524585.1
CP060134.1	4747268	GCA_014524605.1
CP060135.1	112916	GCA_014524605.1
CP060136.1	57187	GCA_014524605.1
CP061929.2	5024881	GCA_014805785.2
CP062004.2	5024881	GCA_014840915.2
CP062220.1	4799045	GCA_014854835.1
CP062223.1	4645545	GCA_014858545.1
CP062224.1	270696	GCA_014858545.1
CP062225.1	4646755	GCA_014858565.1
CP062227.1	3172	GCA_014858565.1
CP062226.1	265014	GCA_014858565.1
CP061044.1	4899433	GCA_015052745.1
CP061045.1	4817809	GCA_015052765.1
CP061046.1	81781	GCA_015052765.1
CP061047.1	4899622	GCA_015052785.1
CP061048.1	93278	GCA_015052785.1
CP061049.1	4899618	GCA_015052805.1
CP061050.1	4817841	GCA_015052825.1
CP061051.1	81781	GCA_015052825.1
CP063289.1	4713149	GCA_015074885.1
CP063290.1	113786	GCA_015074885.1
CP063293.1	3610	GCA_015074885.1
CP063292.1	5633	GCA_015074885.1
CP063291.1	59372	GCA_015074885.1
CP063294.1	4790379	GCA_015074905.1
CP063300.1	1718	GCA_015074905.1
CP063296.1	102507	GCA_015074905.1
CP063295.1	159330	GCA_015074905.1
CP063299.1	3257	GCA_015074905.1
CP063297.1	34894	GCA_015074905.1
CP063298.1	4234	GCA_015074905.1
CP063330.1	4864685	GCA_015159575.1
CP063331.1	2097	GCA_015159575.1
CP063700.1	4685852	GCA_015240635.1
CP063701.1	59372	GCA_015240635.1
CP063702.1	4749264	GCA_015240855.1
CP063703.1	115352	GCA_015240855.1
CP063704.1	4888	GCA_015240855.1
CP063705.1	4736564	GCA_015240995.1
CP063706.1	95694	GCA_015240995.1
CP063707.1	8688	GCA_015240995.1
CP063708.1	4685812	GCA_015241115.1
CP063710.1	3272	GCA_015241115.1
CP063709.1	59372	GCA_015241115.1
CP064263.1	4817454	GCA_015475615.1
CP064264.1	93946	GCA_015475615.1
CP064265.1	88171	GCA_015475615.1
CP064709.1	4638880	GCA_015565735.1
CP062795.1	4847913	GCA_015708295.1
CM129963.1	4734860	GCA_015726895.2
JADWDF020000002.1	49586	GCA_015726895.2
CP065564.1	4944501	GCA_016025375.1
CP065565.1	1982	GCA_016025375.1
CP065566.1	4885341	GCA_016025395.1
CP065567.1	4972399	GCA_016025415.2
CP065568.1	247565	GCA_016025415.2
CP065571.1	4073	GCA_016025415.2
CP065570.1	5570	GCA_016025415.2
CP065569.2	107790	GCA_016025415.2
CP065572.1	4887211	GCA_016025435.1
CP065573.1	84218	GCA_016025435.1
CP065639.1	4857477	GCA_016026715.1
CP065638.1	93933	GCA_016026715.1
CP065718.1	4874787	GCA_016028495.1
CP065719.1	93933	GCA_016028495.1
CP060585.1	4688541	GCA_016071195.1
CP060586.1	256017	GCA_016071195.1
CP066009.1	4878004	GCA_016127435.1
CP066008.1	8688	GCA_016127435.1
CP066010.1	86768	GCA_016127435.1
CP066011.1	93851	GCA_016127435.1
CP066047.1	4677108	GCA_016127835.1
CP066048.1	59372	GCA_016127835.1
CP051307.1	4881835	GCA_016451985.1
CP051308.1	154276	GCA_016451985.1
CP051309.1	48529	GCA_016451985.1
CP051310.1	4856293	GCA_016452005.1
